RAF,n,p,nodes,edges,SCC,WC,diameter,Bet_Centrality,coloring
0,2,0.24524524524524524,14,42,1,1,6,0.1474358974358974,3
0,2,0.24624624624624625,14,38,1,1,6,0.1456043956043956,2
1,2,0.24724724724724725,14,38,1,1,8,0.16117216117216118,2
1,2,0.24824824824824826,14,46,1,1,5,0.11996336996336994,3
1,2,0.24924924924924924,14,42,1,1,6,0.13644688644688646,2
1,2,0.2502502502502503,14,40,1,1,6,0.14285714285714285,3
1,2,0.25125125125125125,14,42,1,1,6,0.13736263736263737,3
1,2,0.25225225225225223,14,46,1,1,6,0.11904761904761904,2
1,2,0.25325325325325326,14,48,1,1,6,0.12362637362637363,2
1,2,0.25425425425425424,14,44,1,1,5,0.12179487179487179,3
1,2,0.2552552552552553,14,40,1,1,5,0.1263736263736264,3
1,2,0.25625625625625625,14,46,1,1,5,0.11904761904761903,3
1,2,0.25725725725725723,14,48,1,1,5,0.12820512820512817,3
1,2,0.25825825825825827,14,42,1,1,7,0.15293040293040291,2
1,2,0.25925925925925924,14,44,1,1,6,0.13186813186813187,3
1,2,0.2602602602602603,14,46,1,1,6,0.12637362637362634,3
1,2,0.26126126126126126,14,48,1,1,5,0.11446886446886444,3
1,2,0.26226226226226224,14,36,1,1,7,0.15201465201465197,3
1,2,0.26326326326326327,14,42,1,1,8,0.15750915750915745,3
1,2,0.26426426426426425,14,48,1,1,5,0.12454212454212453,3
1,2,0.2652652652652653,14,50,1,1,6,0.12271062271062272,3
1,2,0.26626626626626626,14,44,1,1,6,0.13553113553113552,3
1,2,0.26726726726726724,14,54,1,1,7,0.11630036630036629,2
1,2,0.2682682682682683,14,34,1,1,7,0.163003663003663,3
1,2,0.26926926926926925,14,42,1,1,7,0.1456043956043956,3
1,2,0.2702702702702703,14,42,1,1,7,0.1346153846153846,3
1,2,0.27127127127127126,14,38,1,1,7,0.15293040293040291,3
0,2,0.27227227227227224,14,44,1,1,6,0.1382783882783883,3
1,2,0.2732732732732733,14,48,1,1,5,0.12912087912087908,3
1,2,0.27427427427427425,14,42,1,1,6,0.13644688644688643,2
1,2,0.2752752752752753,14,50,1,1,6,0.11630036630036626,3
1,2,0.27627627627627627,14,50,1,1,5,0.11263736263736265,3
0,2,0.2772772772772773,14,46,1,1,6,0.13278388278388278,3
1,2,0.2782782782782783,14,36,1,1,8,0.1666666666666666,3
0,2,0.27927927927927926,14,40,1,1,8,0.15293040293040291,3
1,2,0.2802802802802803,14,50,1,1,5,0.11080586080586079,2
1,2,0.28128128128128127,14,44,1,1,7,0.14377289377289373,3
1,2,0.2822822822822823,14,48,1,1,6,0.12820512820512817,3
1,2,0.2832832832832833,14,40,1,1,8,0.1675824175824176,3
1,2,0.28428428428428426,14,44,1,1,6,0.14835164835164832,3
1,2,0.2852852852852853,14,44,1,1,6,0.12545787545787546,3
0,2,0.2862862862862863,14,40,1,1,6,0.1465201465201465,3
